Rank,County,Population
1,St. Louis County,"996,179"
2,Jackson County,"700,733"
3,St. Charles County,"398,472"
4,St. Louis city/county,"304,709"
5,Greene County,"291,574"
6,Clay County,"246,480"
7,Jefferson County,"224,777"
8,Boone County,"179,704"
9,Jasper County,"120,528"
10,Cass County,"104,687"
11,Franklin County,"103,629"
12,Platte County,"102,848"
13,Buchanan County,"87,904"
14,Christian County,"87,324"
15,Cape Girardeau County,"78,834"
16,Cole County,"76,630"
17,St. Francois County,"66,653"
18,Newton County,"58,288"
19,Lincoln County,"57,590"
20,Taney County,"55,563"
21,Johnson County,"53,948"
22,Pulaski County,"52,359"
23,Camden County,"45,823"
24,Callaway County,"44,944"
25,Phelps County,"44,587"
26,Butler County,"42,570"
27,Pettis County,"42,421"
28,Howell County,"40,130"
29,Webster County,"39,127"
30,Scott County,"38,538"
31,Lawrence County,"38,241"
32,Laclede County,"35,680"
33,Barry County,"35,615"
34,Warren County,"35,090"
35,Lafayette County,"32,697"
36,Polk County,"32,031"
37,Stone County,"31,875"
38,Dunklin County,"29,657"
39,Stoddard County,"29,255"
40,Marion County,"28,572"
41,Texas County,"25,518"
42,Adair County,"25,468"
43,Miller County,"25,369"
44,Audrain County,"25,336"
45,Washington County,"24,819"
46,Randolph County,"24,769"
47,Crawford County,"23,984"
48,Saline County,"22,932"
49,Ray County,"22,900"
50,McDonald County,"22,882"
51,Nodaway County,"22,199"
52,Henry County,"21,854"
53,Vernon County,"20,560"
54,Clinton County,"20,503"
55,Morgan County,"20,438"
56,Benton County,"19,305"
57,Perry County,"19,227"
58,Wright County,"18,256"
59,Pike County,"18,158"
60,Ste. Genevieve County,"17,887"
61,Andrew County,"17,554"
62,Cooper County,"17,522"
63,New Madrid County,"17,275"
64,Dallas County,"16,841"
65,Pemiscot County,"16,330"
66,Bates County,"16,282"
67,Moniteau County,"15,907"
68,Dent County,"15,518"
69,Macon County,"15,154"
70,Livingston County,"14,969"
71,Gasconade County,"14,673"
72,Cedar County,"14,144"
73,Osage County,"13,613"
74,Ripley County,"13,484"
75,Douglas County,"13,335"
76,Mississippi County,"13,328"
77,Wayne County,"13,058"
78,Bollinger County,"12,181"
79,Madison County,"12,176"
80,Linn County,"12,004"
81,DeKalb County,"11,872"
82,Barton County,"11,732"
83,Montgomery County,"11,414"
84,Oregon County,"10,561"
85,Ralls County,"10,258"
86,Iron County,"10,150"
87,Howard County,"10,022"
88,Lewis County,"9,898"
89,Grundy County,"9,885"
90,St. Clair County,"9,455"
91,Hickory County,"9,452"
92,Ozark County,"9,138"
93,Caldwell County,"9,052"
94,Maries County,"8,791"
95,Carroll County,"8,723"
96,Monroe County,"8,630"
97,Harrison County,"8,427"
98,Daviess County,"8,294"
99,Shannon County,"8,207"
100,Dade County,"7,571"
101,Chariton County,"7,449"
102,Clark County,"6,783"
103,Gentry County,"6,576"
104,Reynolds County,"6,274"
105,Sullivan County,"6,163"
106,Carter County,"6,085"
107,Shelby County,"5,975"
108,Atchison County,"5,180"
109,Scotland County,"4,923"
110,Putnam County,"4,746"
111,Schuyler County,"4,550"
112,Holt County,"4,374"
113,Knox County,"3,948"
114,Mercer County,"3,623"
115,Worth County,"2,001"
